exposure_us,exposure_meta_us,analogue_gain,r_mean,g_mean,b_mean,frame_limits,status
100,94.0,1.0,0.22635,0.304575,0.3882,,CLAMPED
300,283.0,1.0,0.91115,0.582,1.4231,,CLAMPED
500,491.0,1.0,2.1008,1.224925,3.0397,,OK
1000,982.0,1.0,4.574425,3.172025,6.26795,,OK
1500,1493.0,1.0,7.498625,4.954125,9.91845,,OK
2000,1984.0,1.0,10.4364,6.7082,13.4058,,OK
3000,2986.0,1.0,16.0809,10.3375,20.381775,,OK
5000,4990.0,1.0,26.500925,17.634125,32.677175,,OK
7500,7485.0,1.0,37.924425,24.986175,44.638625,,OK
10000,9924.0,1.0,45.47275,28.612775,54.268225,,OK
12000,11909.0,1.0,52.86565,34.769725,63.14785,,OK
15000,14914.0,1.0,63.1184,42.80635,75.068375,,OK
17000,16918.0,1.0,69.232075,46.775975,82.7809,,OK
20000,19924.0,1.0,78.793525,53.033725,93.506275,,OK
30000,29924.0,1.0,106.915875,73.136125,125.48375,,OK
50000,49924.0,1.0,151.2361,107.499125,172.164475,,OK
70000,69905.0,1.0,181.4485,134.9898,200.8312,,OK
100000,99923.0,1.0,209.416425,167.46555,225.188875,,OK
150000,149923.0,1.0,235.269725,201.27665,248.92275,,OK
200000,199923.0,1.0,251.90205,220.7212,254.99715,,CLAMPED
