exposure_us,exposure_meta_us,analogue_gain,r_mean,g_mean,b_mean,frame_limits,status
100,94.0,1.0,0.461825,0.3331,0.6596,,CLAMPED
300,283.0,1.0,2.0537,1.147775,2.705475,,CLAMPED
500,491.0,1.0,3.500625,2.3705,5.047725,,OK
1000,982.0,1.0,8.104275,5.2795,10.636625,,OK
1500,1493.0,1.0,13.007075,8.095275,16.305375,,OK
2000,1984.0,1.0,17.34875,11.080825,21.7549,,OK
3000,2986.0,1.0,25.663875,16.7749,31.955625,,OK
5000,4990.0,1.0,39.9191,26.79455,47.238325,,OK
7500,7485.0,1.0,53.732225,36.687525,64.185625,,OK
10000,9924.0,1.0,66.646175,45.577525,79.8318,,OK
12000,11909.0,1.0,76.618125,51.87575,91.76325,,OK
15000,14914.0,1.0,91.122175,62.304825,108.4556,,OK
17000,16918.0,1.0,100.329175,67.309175,118.029175,,OK
20000,19924.0,1.0,112.4098,76.6125,132.1902,,OK
30000,29924.0,1.0,148.312775,104.201275,169.21075,,OK
50000,49924.0,1.0,193.331175,147.39615,210.469775,,OK
70000,69905.0,1.0,217.561025,177.4827,232.2556,,OK
100000,99923.0,1.0,239.367175,205.991775,252.400425,,OK
125000,124914.0,1.0,252.134575,220.52515,254.99815,,OK
150000,149923.0,1.0,255.0,247.0761,255.0,,OK
175000,174914.0,1.0,255.0,255.0,255.0,,CLAMPED
200000,199923.0,1.0,255.0,255.0,255.0,,CLAMPED
