exposure_us,exposure_meta_us,analogue_gain,r_mean,g_mean,b_mean,frame_limits,status
100,94.0,1.0,0.097075,0.218125,0.456425,,CLAMPED
300,283.0,1.0,0.0836,0.314925,1.72315,,CLAMPED
500,491.0,1.0,0.15165,0.358925,3.18195,,OK
1000,982.0,1.0,0.116275,0.86565,7.00455,,OK
2000,1984.0,1.0,0.396325,1.959175,14.8175,,OK
5000,4990.0,1.0,0.7184,6.0588,35.346525,,OK
10000,9924.0,1.0,2.078325,12.453025,59.258175,,OK
20000,19924.0,1.0,3.029525,19.2094,100.41315,,OK
50000,49924.0,1.0,8.800075,48.0143,179.366925,,OK
100000,99923.0,1.0,21.299675,83.368575,229.291,,OK
150000,149923.0,1.0,33.788575,113.30155,251.634925,,OK
200000,199923.0,1.0,46.694875,137.498625,254.837225,,CLAMPED
