exposure_us,exposure_meta_us,analogue_gain,r_mean,g_mean,b_mean,frame_limits,status
100,94.0,1.0,0.62295,0.29235,0.886775,,CLAMPED
300,283.0,1.0,2.664025,1.1725,3.70475,,CLAMPED
500,491.0,1.0,4.504125,2.93785,6.242025,,OK
1000,982.0,1.0,10.20765,6.338025,13.194825,,OK
1500,1493.0,1.0,15.745575,9.8875,19.997725,,OK
2000,1984.0,1.0,21.032925,13.243325,25.975225,,OK
3000,2986.0,1.0,30.7851,19.8615,37.6225,,OK
5000,4990.0,1.0,45.9072,32.15935,54.24505,,OK
7500,7485.0,1.0,62.391875,42.15915,74.452375,,OK
10000,9924.0,1.0,77.310875,52.660325,92.369475,,OK
12000,11909.0,1.0,88.5393,60.0968,105.988675,,OK
15000,14914.0,1.0,105.149125,71.7596,123.95275,,OK
17000,16918.0,1.0,114.515175,78.01195,134.85045,,OK
20000,19924.0,1.0,128.254725,87.9722,149.9914,,OK
30000,29924.0,1.0,165.14505,118.630025,186.083175,,OK
50000,49924.0,1.0,207.451675,164.20835,223.758375,,OK
70000,69905.0,1.0,229.8484,192.807075,243.4374,,OK
100000,99923.0,1.0,250.42195,217.9738,254.997225,,OK
125000,124914.0,1.0,255.0,248.073375,255.0,,OK
150000,149923.0,1.0,255.0,255.0,255.0,,OK
175000,174914.0,1.0,255.0,255.0,255.0,,CLAMPED
200000,199923.0,1.0,255.0,255.0,255.0,,CLAMPED
