exposure_us,exposure_meta_us,analogue_gain,r_mean,g_mean,b_mean,frame_limits,status
100,94.0,1.0,0.061625,0.096375,0.094325,,CLAMPED
300,283.0,1.0,0.071275,0.10835,0.128525,,CLAMPED
500,491.0,1.0,0.074,0.11585,0.1198,,OK
1000,982.0,1.0,0.07295,0.122375,0.14875,,OK
2000,1984.0,1.0,0.085925,0.139225,0.166125,,OK
5000,4990.0,1.0,0.10435,0.20235,0.26695,,OK
10000,9924.0,1.0,0.11575,0.273075,0.49455,,OK
20000,19924.0,1.0,0.15295,0.35815,1.177425,,OK
50000,49924.0,1.0,0.473175,0.81235,3.558025,,OK
100000,99923.0,1.0,1.4609,1.721275,7.665225,,OK
150000,149923.0,1.0,2.022075,3.195325,11.96515,,OK
200000,199923.0,1.0,3.044725,4.269325,16.0932,,CLAMPED
