exposure_us,exposure_meta_us,analogue_gain,r_mean,g_mean,b_mean,frame_limits,status
100,94.0,1.0,1.019075,0.68325,1.526675,,CLAMPED
300,283.0,1.0,4.337225,2.8477,6.149625,,CLAMPED
500,491.0,1.0,8.029,5.141075,10.648925,,OK
1000,982.0,1.0,17.1995,10.6804,21.86195,,OK
2000,1984.0,1.0,33.36405,21.225275,40.16825,,OK
5000,4990.0,1.0,67.0771,46.251225,80.4801,,OK
10000,9924.0,1.0,111.00335,74.9329,131.291575,,OK
20000,19924.0,1.0,172.33015,125.5698,193.124775,,OK
50000,49924.0,1.0,238.0079,205.422775,251.529675,,OK
100000,99923.0,1.0,255.0,255.0,255.0,,OK
150000,149923.0,1.0,255.0,255.0,255.0,,OK
200000,199923.0,1.0,255.0,255.0,255.0,,CLAMPED
