exposure_us,exposure_meta_us,analogue_gain,r_mean,g_mean,b_mean,frame_limits,status
100,94.0,1.0,0.2348,0.2877,0.392525,,CLAMPED
300,283.0,1.0,0.90155,0.568025,1.448675,,CLAMPED
500,491.0,1.0,2.110475,1.244875,2.98795,,OK
1000,982.0,1.0,4.6027,3.142525,6.2807,,OK
1500,1493.0,1.0,7.48055,4.990675,9.89835,,OK
2000,1984.0,1.0,10.4925,6.689825,13.3569,,OK
3000,2986.0,1.0,16.14545,10.303775,20.3551,,OK
5000,4990.0,1.0,26.494125,17.63085,32.79545,,OK
7500,7485.0,1.0,37.9243,25.023125,44.638375,,OK
10000,9924.0,1.0,45.4864,28.5845,54.301725,,OK
12000,11909.0,1.0,52.835625,34.88125,63.14325,,OK
15000,14914.0,1.0,63.1599,42.760475,75.178,,OK
17000,16918.0,1.0,69.146375,46.858425,82.893975,,OK
20000,19924.0,1.0,78.65615,53.183375,93.599275,,OK
30000,29924.0,1.0,106.896375,73.193175,125.509675,,OK
50000,49924.0,1.0,151.303625,107.58335,172.06895,,OK
70000,69905.0,1.0,181.639725,135.10435,200.61415,,OK
100000,99923.0,1.0,209.39525,167.605375,225.215775,,OK
125000,124914.0,1.0,224.641425,186.77315,238.08725,,OK
150000,149923.0,1.0,235.332775,201.169,248.98655,,OK
175000,174914.0,1.0,244.581275,211.46925,254.998125,,CLAMPED
200000,199923.0,1.0,251.9433,220.643875,254.996875,,CLAMPED
