exposure_us,exposure_meta_us,analogue_gain,r_mean,g_mean,b_mean,frame_limits,status
100,94.0,1.0,0.2251,0.33395,0.4885,,CLAMPED
300,283.0,1.0,0.967475,0.853525,1.890725,,CLAMPED
500,491.0,1.0,2.36405,1.25975,4.13825,,OK
1000,982.0,1.0,5.0023,3.634675,8.190625,,OK
1500,1493.0,1.0,8.305025,5.69335,12.865625,,OK
2000,1984.0,1.0,11.37465,7.790025,17.1823,,OK
3000,2986.0,1.0,17.481375,12.026225,25.555,,OK
5000,4990.0,1.0,28.4497,19.970675,39.777,,OK
7500,7485.0,1.0,39.819875,28.9689,53.45415,,OK
10000,9924.0,1.0,48.574425,32.75195,66.161975,,OK
15000,14914.0,1.0,66.710425,49.977575,90.63265,,OK
20000,19924.0,1.0,82.910325,59.5729,111.7735,,OK
50000,49924.0,1.0,156.9994,119.789,192.02335,,OK
100000,99923.0,1.0,213.4658,181.516425,238.289325,,OK
150000,149923.0,1.0,238.889825,211.830275,254.99735,,OK
200000,199923.0,1.0,254.999975,240.01135,254.999875,,CLAMPED
