exposure_us,exposure_meta_us,analogue_gain,r_mean,g_mean,b_mean,frame_limits,status
100,94.0,1.0,0.6393,0.29075,0.871275,,CLAMPED
300,283.0,1.0,2.6909,1.184825,3.6838,,CLAMPED
500,491.0,1.0,4.495175,2.963475,6.20875,,OK
1000,982.0,1.0,10.155525,6.366825,13.25215,,OK
1500,1493.0,1.0,15.738225,9.900175,20.0683,,OK
2000,1984.0,1.0,20.97085,13.232325,26.274575,,OK
3000,2986.0,1.0,30.827575,19.787175,37.884875,,OK
5000,4990.0,1.0,45.9481,31.826175,54.882825,,OK
7500,7485.0,1.0,62.647425,41.607425,75.43785,,OK
10000,9924.0,1.0,77.637225,52.061725,93.5383,,OK
12000,11909.0,1.0,89.253175,59.13515,107.162325,,OK
15000,14914.0,1.0,106.12345,70.346425,125.4018,,OK
17000,16918.0,1.0,115.51085,76.626925,136.3025,,OK
20000,19924.0,1.0,129.432025,86.32595,151.58655,,OK
30000,29924.0,1.0,166.4732,116.694525,187.366925,,OK
50000,49924.0,1.0,208.313875,162.288925,224.538925,,OK
70000,69905.0,1.0,230.445775,191.4556,244.006875,,OK
100000,99923.0,1.0,250.958575,217.033025,254.9976,,OK
125000,124914.0,1.0,255.0,248.301075,255.0,,OK
150000,149923.0,1.0,255.0,255.0,255.0,,OK
175000,174914.0,1.0,255.0,255.0,255.0,,CLAMPED
200000,199923.0,1.0,255.0,255.0,255.0,,CLAMPED
