exposure_us,exposure_meta_us,analogue_gain,r_mean,g_mean,b_mean
200,9999.0,1.0,46.25715,47.314925,144.583975
500,189.0,1.0,0.515,0.842975,4.77895
1000,491.0,1.0,2.164625,2.687175,12.3162
2000,982.0,1.0,5.209425,5.808725,24.9213
5000,1984.0,1.0,11.6557,11.84695,44.61285
10000,4990.0,1.0,28.65845,29.375625,89.505275
20000,9999.0,1.0,49.294425,50.2546,145.8783
50000,19999.0,1.0,84.010675,84.81665,204.65725
100000,49999.0,1.0,158.96925,159.36795,254.91255
200000,49999.0,1.0,156.736,157.056925,254.91375
